sample_id,sample_name,replicate_no,time,species,type1,type2,16S_AA,tetM_AA,sul1_AA,blaTEM_AA,ermB_AA,intI1_AA,sum.ARGs_AA,tetM_RA,sul1_RA,blaTEM_RA,ermB_RA,intI1_RA,sum.ARGs_RA
T0_BR#5-1,BR#5,1,T0,SW,BR,BR_SW,1.450E+11,4.450E+07,3.020E+08,9.810E+04,1.660E+07,7.060E+08,3.630E+08,3.080E-04,2.080E-03,6.780E-07,1.140E-04,4.880E-03,2.500E-03
T0_BR#5-2,BR#5,2,T0,SW,BR,BR_SW,1.150E+11,3.620E+07,2.510E+08,8.920E+04,1.220E+07,7.250E+08,2.990E+08,3.150E-04,2.190E-03,7.780E-07,1.060E-04,6.320E-03,2.610E-03
T0_BR#5-3,BR#5,3,T0,SW,BR,BR_SW,1.450E+11,3.550E+07,2.550E+08,7.960E+04,1.150E+07,6.420E+08,3.020E+08,2.450E-04,1.760E-03,5.480E-07,7.960E-05,4.430E-03,2.090E-03
T0_BR#7-1,BR#7,1,T0,SW,BR,BR_SW,1.070E+11,1.070E+07,1.480E+08,0.000E+00,7.970E+06,3.620E+08,1.670E+08,1.000E-04,1.390E-03,0.000E+00,7.480E-05,3.400E-03,1.560E-03
T0_BR#7-2,BR#7,2,T0,SW,BR,BR_SW,2.120E+11,3.800E+07,5.530E+08,3.160E+03,2.250E+07,1.400E+09,6.140E+08,1.790E-04,2.610E-03,1.490E-08,1.060E-04,6.620E-03,2.900E-03
T0_BR#7-3,BR#7,3,T0,SW,BR,BR_SW,1.700E+11,1.540E+07,1.890E+08,0.000E+00,1.120E+07,4.500E+08,2.160E+08,9.090E-05,1.110E-03,0.000E+00,6.580E-05,2.650E-03,1.270E-03
T0_BR#27-1,BR#27,1,T0,SW,BR,BR_SW,1.500E+11,1.490E+06,1.300E+07,0.000E+00,2.060E+06,4.840E+07,1.660E+07,9.920E-06,8.650E-05,0.000E+00,1.370E-05,3.220E-04,1.101E-04
T0_BR#27-2,BR#27,2,T0,SW,BR,BR_SW,1.850E+11,1.650E+06,1.700E+07,0.000E+00,2.540E+06,5.050E+07,2.120E+07,8.960E-06,9.190E-05,0.000E+00,1.380E-05,2.730E-04,1.147E-04
T0_BR#27-3,BR#27,3,T0,SW,BR,BR_SW,1.880E+11,1.760E+06,1.580E+07,1.530E+03,2.840E+06,5.500E+07,2.040E+07,9.320E-06,8.370E-05,8.110E-09,1.510E-05,2.920E-04,1.081E-04
T0_BR#8-1,BR#8,1,T0,SW,BR,BR_SW,2.630E+11,4.370E+08,9.230E+09,1.570E+04,3.190E+08,1.040E+10,9.990E+09,1.660E-03,3.510E-02,5.970E-08,1.210E-03,3.950E-02,3.800E-02
