sample_id,species,type1,type2,16S_AA,tetA_AA,tetM_AA,tetO_AA,tetW_AA,sum.tet_AA,sul1_AA,sul2_AA,sum.sul_AA,blaCTX_AA,blaSHV_AA,blaTEM_AA,sum.bla_AA,ermB_AA,ermF_AA,sum.erm_AA,intI1_AA,sum.ARGs_AA,tetA_RA,tetM_RA,tetO_RA,tetW_RA,sum.tet_RA,sul1_RA,sul2_RA,sum.sul_RA,blaCTX_RA,blaSHV_RA,blaTEM_RA,sum.bla_RA,ermB_RA,ermF_RA,sum.erm_RA,intI1_RA,sum.ARGs_RA,pH,EC,COD,TN,TP,Cu,Zn,CTC,OTC,TC,sum.TET,SDZ,SMZ,SMX,SP,sum.SF
BR#1,SW,BR,BR_SW,1.810E+09,6.030E+04,6.400E+06,7.630E+05,7.930E+05,8.020E+06,1.880E+07,8.210E+05,1.960E+07,1.100E+02,1.140E+02,3.210E+03,3.430E+03,4.060E+06,2.500E+03,4.060E+06,1.490E+07,3.170E+07,3.340E-05,3.540E-03,4.220E-04,4.390E-04,4.430E-03,1.040E-02,4.540E-04,1.090E-02,6.080E-08,6.300E-08,1.770E-06,1.890E-06,2.250E-03,1.380E-06,2.250E-03,8.240E-03,1.750E-02,6.9,7.93,2060,640,67.4,0.347,1.163,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR#2,SW,BR,BR_SW,1.250E+10,1.010E+08,2.230E+08,1.590E+07,2.350E+07,3.630E+08,3.970E+09,2.180E+08,4.190E+09,9.170E+02,1.400E+03,1.320E+06,1.320E+06,6.330E+07,2.670E+04,6.330E+07,3.930E+08,4.620E+09,8.060E-03,1.770E-02,1.270E-03,1.870E-03,2.890E-02,3.160E-01,1.730E-02,3.330E-01,7.310E-08,1.120E-07,1.050E-04,1.050E-04,5.040E-03,2.130E-06,5.040E-03,3.130E-02,3.670E-01,6.3,3.12,730,250,62.1,0.339,1.912,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR#3,SW,BR,BR_SW,1.050E+10,3.990E+06,2.580E+08,3.940E+07,1.920E+07,3.210E+08,4.940E+08,7.350E+07,5.680E+08,2.370E+03,0.000E+00,6.940E+04,7.180E+04,3.380E+07,2.060E+04,3.380E+07,1.360E+08,9.220E+08,3.810E-04,2.460E-02,3.760E-03,1.830E-03,3.060E-02,4.710E-02,7.010E-03,5.410E-02,2.270E-07,0.000E+00,6.620E-06,6.850E-06,3.230E-03,1.970E-06,3.230E-03,1.300E-02,8.790E-02,6.3,4.95,1940,440,120.2,0.519,3.209,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR#4,SW,BR,BR_SW,2.170E+09,4.050E+05,1.670E+07,1.330E+06,2.220E+06,2.070E+07,6.260E+07,4.140E+06,6.670E+07,1.020E+02,0.000E+00,2.420E+04,2.430E+04,2.450E+06,1.370E+03,2.450E+06,1.680E+07,8.990E+07,1.870E-04,7.700E-03,6.110E-04,1.020E-03,9.520E-03,2.890E-02,1.910E-03,3.080E-02,4.700E-08,0.000E+00,1.110E-05,1.110E-05,1.130E-03,6.320E-07,1.130E-03,7.760E-03,4.150E-02,6.3,2.81,3920,330,205.9,0.723,4.978,5.57,2.62,2.23,10.42,2.01,0.03,0,0,2.04
BR#5,SW,BR,BR_SW,1.900E+10,4.780E+06,1.470E+10,2.080E+07,2.020E+08,1.490E+10,7.010E+08,6.120E+07,7.620E+08,3.420E+02,4.200E+01,3.820E+05,3.820E+05,4.150E+07,9.090E+03,4.150E+07,2.270E+08,1.570E+10,2.520E-04,7.750E-01,1.100E-03,1.060E-02,7.870E-01,3.690E-02,3.230E-03,4.010E-02,1.800E-08,2.210E-09,2.010E-05,2.010E-05,2.180E-03,4.790E-07,2.180E-03,1.200E-02,8.290E-01,6.6,3.61,4280,400,196.1,0.536,2.829,1.96,1.68,7.25,10.9,0.09,101.34,0,0,101.43
BR#6,CA,BR,BR_CA,7.860E+09,1.180E+06,7.530E+06,8.010E+05,1.140E+06,1.065E+07,2.250E+08,7.210E+06,2.320E+08,1.570E+03,0.000E+00,1.220E+05,1.240E+05,7.360E+05,9.720E+03,7.460E+05,1.150E+08,2.440E+08,1.500E-04,9.580E-04,1.020E-04,1.450E-04,1.355E-03,2.870E-02,9.180E-04,2.960E-02,2.000E-07,0.000E+00,1.560E-05,1.580E-05,9.370E-05,1.240E-06,9.490E-05,1.460E-02,3.110E-02,6.6,1.67,900,80,27.5,0.117,0.269,0,0.87,0.77,1.64,0,0,0,0,0
BR#7,SW,BR,BR_SW,3.620E+10,1.840E+06,3.500E+08,7.480E+07,4.900E+07,4.760E+08,7.570E+09,5.630E+08,8.130E+09,0.000E+00,0.000E+00,1.370E+05,1.370E+05,1.180E+08,4.250E+04,1.180E+08,3.170E+09,8.730E+09,5.080E-05,9.650E-03,2.060E-03,1.350E-03,1.311E-02,2.090E-01,1.550E-02,2.250E-01,0.000E+00,0.000E+00,3.770E-06,3.770E-06,3.260E-03,1.170E-06,3.260E-03,8.770E-02,2.410E-01,6.9,7.63,4360,940,175.2,1.453,4.495,0,0.46,0.68,1.14,2.53,0.08,0,0,2.61
BR#8,SW,BR,BR_SW,2.250E+10,8.690E+04,1.310E+08,9.530E+06,2.100E+07,1.620E+08,1.310E+09,6.710E+07,1.380E+09,0.000E+00,0.000E+00,4.440E+04,4.440E+04,6.980E+07,1.650E+04,6.980E+07,7.910E+07,1.610E+09,3.870E-06,5.840E-03,4.250E-04,9.330E-04,7.200E-03,5.820E-02,2.990E-03,6.120E-02,0.000E+00,0.000E+00,1.980E-06,1.980E-06,3.110E-03,7.340E-07,3.110E-03,3.520E-03,7.150E-02,6.9,7.99,8000,1940,354.1,5.839,20.75,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR#9,CA,BR,BR_CA,3.240E+10,2.760E+06,5.070E+07,3.280E+07,2.190E+07,1.082E+08,3.400E+08,4.630E+07,3.860E+08,2.600E+03,0.000E+00,9.130E+04,9.390E+04,5.030E+06,4.760E+04,5.080E+06,2.530E+08,5.000E+08,8.530E-05,1.560E-03,1.010E-03,6.750E-04,3.330E-03,1.050E-02,1.430E-03,1.190E-02,8.030E-08,0.000E+00,2.820E-06,2.900E-06,1.550E-04,1.470E-06,1.560E-04,7.830E-03,1.540E-02,6.6,2.21,8810,432,58,2.191,9.938,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR#10,CA,BR,BR_CA,3.390E+10,1.870E+06,1.350E+07,4.180E+06,6.440E+06,2.600E+07,7.350E+08,4.120E+07,7.760E+08,2.450E+02,3.100E+01,4.680E+04,4.710E+04,1.220E+07,1.100E+04,1.220E+07,7.650E+08,8.140E+08,5.520E-05,3.980E-04,1.230E-04,1.900E-04,7.660E-04,2.170E-02,1.220E-03,2.290E-02,7.240E-09,9.170E-10,1.380E-06,1.390E-06,3.590E-04,3.240E-07,3.590E-04,2.260E-02,2.400E-02,6.9,3.96,7850,415,112.8,0.433,2.281,0,2.63,1.7,4.33,0.39,0,0.33,0,0.73
